Transect,Mean_Change_m,Std_Dev_m,Max_Erosion_m,Max_Accretion_m,Net_Change_m,Rate_m_per_year,N_Points
NA1,-3.06002,5.892053151,-8.49796,5.28354,-13.7815,-3.445375,4
NA2,-2.60131,6.504047556,-7.99467,6.26529,-14.25996,-3.56499,4
NA3,-2.338845,5.676093524,-7.4901,5.6627,-13.1528,-3.2882,4
NA4,-0.5800475,5.095922594,-4.40274,6.83204,-11.23478,-2.808695,4
NA5,0.2494565,5.559881819,-5.18678,7.94688,-13.13366,-3.283415,4
NA6,-1.850165,5.282637091,-7.11367,5.41217,-12.52584,-3.13146,4
NA7,-2.897475,4.987709177,-7.99305,3.88327,-11.87632,-2.96908,4
NA8,-1.9212275,4.716119021,-6.86602,4.40718,-11.2732,-2.8183,4
NA9,0.803036,2.527652713,-0.870026,4.52289,-5.392916,-1.348229,4
NA10,-3.42888425,3.440082128,-8.20269,-0.267307,-7.935383,-1.98384575,4
NA11,-4.7421015,5.273628501,-12.0439,0.200424,-12.244324,-3.061081,4
NA12,-5.8368175,8.188468458,-15.7967,4.22994,-20.02664,-5.00666,4
NA13,3.561114,7.618376863,-5.4322,12.4373,-17.8695,-4.467375,4
NA14,7.1560975,7.29232774,-0.88779,13.8666,-14.75439,-3.6885975,4
NA15,7.0832675,7.073497984,-1.36246,15.2959,-16.65836,-4.16459,4
NA16,8.249903333,4.113394598,5.39912,12.9654,-7.56628,-1.89157,4
NA17,12.53199,5.456857996,7.54667,18.3619,-10.81523,-2.7038075,4
NA18,11.687,11.83165849,-3.93573,23.7023,-27.63803,-6.9095075,4
NA19,6.0298925,15.22154388,-13.9599,22.7631,-36.723,-9.18075,4
NA20,1.5455675,8.098711058,-10.2569,6.86667,-17.12357,-4.2808925,4
NA21,8.4066525,2.877193859,6.44617,12.5653,-6.11913,-1.5297825,4
NA22,11.73711,4.358467338,8.47897,18.0852,-9.60623,-2.4015575,4
NA23,5.0770725,6.288954345,-1.55034,11.4396,-12.98994,-3.247485,4
NA24,8.4760625,3.422077469,5.9075,13.1996,-7.2921,-1.823025,4
NA25,6.55543,8.011582698,-4.91263,13.6661,-18.57873,-4.6446825,4
NA26,-3.056965,12.58157286,-13.167,13.61,-26.777,-6.69425,4
NA27,6.21788,0,6.21788,6.21788,0,0,1
NA28,-0.0196815,9.578354566,-6.70548,13.61,-20.31548,-5.07887,4
NA29,-38.318225,7.044472013,-47.0892,-29.8812,-17.208,-4.302,4
