dates,year,T1_distance_m,T2_distance_m,T3_distance_m,T4_distance_m,T5_distance_m
2019-01-04,2019,157.65651850513927,711.8358090257153,278.067087482895,,459.5707268390277
2019-02-05,2019,158.88473838733697,768.9785781100138,278.067087482895,,340.38404435144565
2019-02-05,2019,158.88473838733697,768.9785781100138,278.067087482895,,340.38404435144565
2019-02-21,2019,188.11712240519873,711.8358090257153,278.067087482895,,459.5707268390277
2019-03-09,2019,276.7930349984075,560.2293906516272,325.60226163148,,549.4396103715978
2019-03-09,2019,276.7930349984075,560.2293906516272,325.60226163148,,549.4396103715978
2019-03-25,2019,308.76964148883644,529.3860786970022,325.6197009704914,272.9852560876379,580.4853003028237
2019-03-25,2019,218.9092100122288,529.3860786970022,325.6197009704914,272.9852560876379,580.4853003028237
2019-04-10,2019,277.875794220087,439.61391244694346,280.08645488426475,300.16754038065204,580.5223263905517
2019-04-10,2019,277.875794220087,439.61391244694346,280.08645488426475,300.16754038065204,580.5223263905517
2019-05-12,2019,248.472702311,410.2171064980865,325.60226163148,448.7506963058765,580.5223263905517
2019-10-03,2019,338.2313143998177,767.173240244882,278.067087482895,,309.28612409302644
2019-11-20,2019,308.7587700921947,917.8340364620055,236.53065494758695,,309.28612409302644
2019-12-06,2019,308.74626609739175,712.1113188295524,278.067087482895,,459.57398778549793
2019-12-06,2019,308.74626609739175,712.1113188295524,278.067087482895,,459.57398778549793
2020-01-23,2020,157.15573384833144,712.0670285373864,279.373332069924,,430.21264084981215
2020-01-23,2020,158.88473838733697,712.1113188295524,278.067087482895,,430.1631897259902
2020-03-11,2020,772.6614993404194,394.15856125471,325.7154286240947,,
2020-03-27,2020,276.5041074889515,560.3519200709336,325.6197009704914,272.9852560876379,580.395318572445
2020-05-30,2020,308.74626609739175,439.61391244694346,325.60226163148,273.06055322208977,580.5223263905517
2020-07-01,2020,277.875794220087,560.2293906516272,325.60226163148,273.06055322208977,580.385020311293
2020-12-24,2020,277.875794220087,711.8358090257153,325.60226163148,,549.3023608295301
2020-12-24,2020,277.875794220087,711.8358090257153,325.60226163148,,549.3023608295301
2021-01-25,2021,366.28887386426004,711.8358090257153,325.60226163148,,549.3023608295301
2021-02-26,2021,277.875794220087,621.1509016544874,325.60226163148,,549.4396669087597
2021-02-26,2021,277.875794220087,621.1509016544874,325.60226163148,,549.4396669087597
2021-05-01,2021,218.9092100122288,560.3519200709336,325.6197009704914,272.9852560876379,580.3800577958177
2021-05-01,2021,218.9092100122288,560.3519200709336,325.6197009704914,272.9852560876379,580.3800577958177
2021-06-18,2021,277.875794220087,711.8358090257153,325.60226163148,273.06055322208977,580.385020311293
2021-06-18,2021,277.875794220087,711.8358090257153,325.60226163148,273.06055322208977,580.385020311293
2022-01-12,2022,277.875794220087,770.1837693813667,325.60226163148,,519.941553247905
2022-01-12,2022,188.11712240519873,770.1837693813667,325.60226163148,,519.941553247905
2022-01-28,2022,276.5041074889515,712.0670285373864,296.42614560000305,,520.9276379303496
2022-11-12,2022,308.74626609739175,768.9785781100138,266.7036661485531,,309.28612409302644
2023-04-21,2023,277.875794220087,711.8358090257153,325.60226163148,273.06055322208977,551.34607952228
2023-04-21,2023,277.875794220087,711.8358090257153,325.60226163148,273.06055322208977,551.34607952228
2023-05-07,2023,277.875794220087,711.8358090257153,325.6052196039742,273.06055322208977,551.34607952228
2023-06-08,2023,277.875794220087,798.0031454216113,278.067087482895,,309.28612409302644
2024-01-02,2024,277.875794220087,768.9785781100138,266.7036661485531,,309.28612409302644
2024-01-18,2024,277.875794220087,964.4195338019881,296.3265938037131,,309.28612409302644
2024-02-03,2024,277.875794220087,712.1113188295524,325.60226163148,,488.9635979928766
2024-02-19,2024,277.85050069819647,712.0670285373864,325.6197009704914,,519.9465157634094
2024-02-19,2024,277.875794220087,712.1113188295524,325.60226163148,,519.941553247905
2024-03-06,2024,219.05324294670055,712.1113188295524,325.60226163148,,548.6091634238481
2024-03-06,2024,219.05324294670055,712.1113188295524,325.60226163148,,548.6091634238481
2024-04-07,2024,276.80571166431696,712.1113188295524,325.60226163148,244.60744605622833,549.3056217760058
2024-04-23,2024,246.58329738233934,711.8358090257153,325.60226163148,244.60744605622833,549.3056217760058
2024-04-23,2024,246.58329738233934,712.1113188295524,325.60226163148,244.60744605622833,549.3056217760058
2022-01-04,2022,159.38315572449602,921.2068950850198,237.61463835557277,,158.99447853230924
2022-05-12,2022,276.5041074889515,711.5412495814328,325.6197009704914,272.9852560876379,551.280628051331
2022-05-12,2022,277.85050069819647,711.5412495814328,325.6197009704914,272.9852560876379,551.280628051331
2022-06-13,2022,277.875794220087,711.8358090257153,325.60226163148,273.06055322208977,580.385020311293
2022-11-04,2022,308.74626609739175,711.8358090257153,325.60226163148,234.91868751292623,551.34607952228
2022-12-06,2022,277.875794220087,770.1837693813667,325.60226163148,233.38973810888928,549.3056217760058
2023-02-24,2023,277.875794220087,711.8358090257153,325.60226163148,,549.3023608295301
2023-02-24,2023,277.875794220087,711.8358090257153,325.6052196039742,,549.3023608295301
2023-04-29,2023,308.74626609739175,711.8358090257153,325.60226163148,273.06055322208977,551.34607952228
2023-09-20,2023,308.7587700921947,770.1837693813667,325.60226163148,,490.65114539769587
2023-11-23,2023,277.875794220087,768.9785781100138,325.60226163148,,548.5521709231896
2023-12-09,2023,277.875794220087,712.1113188295524,325.60226163148,,520.957786517576
2023-12-09,2023,277.875794220087,712.1113188295524,325.60226163148,,520.957786517576
2024-01-10,2024,277.875794220087,770.1837693813667,325.60226163148,,430.17839396545014
2024-01-10,2024,277.875794220087,770.1837693813667,325.60226163148,,430.17839396545014
2024-02-11,2024,308.76964148883644,,267.03053234367525,,
2024-02-27,2024,187.4377134208409,768.9785781100138,325.60226163148,,519.941553247905
2024-03-30,2024,277.85050069819647,712.0670285373864,325.6197009704914,272.9852560876379,549.312659090682
2024-03-30,2024,276.5041074889515,712.0670285373864,325.6197009704914,272.9852560876379,549.312659090682
2024-04-15,2024,276.5041074889515,712.0670285373864,325.6197009704914,272.9852560876379,549.312659090682
2024-04-15,2024,277.85050069819647,712.0670285373864,325.6197009704914,272.9852560876379,549.312659090682
2024-05-17,2024,277.85050069819647,711.5412495814328,325.62022434819534,245.17792155170304,549.312659090682
2024-11-09,2024,308.74626609739175,847.0728971057744,248.29425757774317,,304.5937496515014
2024-11-09,2024,308.74626609739175,832.9969788608666,248.29425757774317,,304.5937496515014
